Class,Precision,Recall,F1-Score,Support
E,1.0,1.0,1.0,97
F,1.0,1.0,1.0,97
V,1.0,1.0,1.0,94
X,1.0,1.0,1.0,95
P,1.0,1.0,1.0,99
Y,1.0,1.0,1.0,95
R,1.0,1.0,1.0,96
G,0.989583,1.0,0.994764,95
Z,0.989474,1.0,0.994709,94
J,0.980952,1.0,0.990385,103
S,0.989899,0.989899,0.989899,99
T,0.979592,1.0,0.989691,96
B,0.979381,1.0,0.989583,95
A,1.0,0.978947,0.989362,95
Q,0.990196,0.980583,0.985366,103
O,0.980198,0.99,0.985075,100
W,0.978947,0.989362,0.984127,94
K,1.0,0.96875,0.984127,96
I,0.989247,0.978723,0.983957,94
U,0.989011,0.978261,0.983607,92
N,0.969388,0.989583,0.979381,96
D,0.978947,0.978947,0.978947,95
L,0.989362,0.96875,0.978947,96
H,0.978947,0.978947,0.978947,95
C,1.0,0.958333,0.978723,96
M,0.959184,0.979167,0.969072,96
